kb_id,category,fact_name,arg1,arg2,arg3,start_date,end_date
1,CORE,has_role,doc_0,doctor,,2025-01-01,2027-01-01
2,CORE,has_role,doc_1,doctor,,2025-01-01,2027-01-01
3,CORE,has_role,doc_2,doctor,,2025-01-01,2027-01-01
4,CORE,has_role,doc_3,doctor,,2025-01-01,2027-01-01
5,CORE,has_role,doc_4,doctor,,2025-01-01,2027-01-01
6,CORE,has_role,doc_5,doctor,,2025-01-01,2027-01-01
7,CORE,has_role,doc_6,doctor,,2025-01-01,2027-01-01
8,CORE,has_role,doc_7,doctor,,2025-01-01,2027-01-01
9,CORE,has_role,doc_8,doctor,,2025-01-01,2027-01-01
10,CORE,has_role,doc_9,doctor,,2025-01-01,2027-01-01
11,CORE,has_role,doc_10,doctor,,2025-01-01,2027-01-01
12,CORE,has_role,doc_11,doctor,,2025-01-01,2027-01-01
13,CORE,has_role,doc_12,doctor,,2025-01-01,2027-01-01
14,CORE,has_role,doc_13,doctor,,2025-01-01,2027-01-01
15,CORE,has_role,doc_14,doctor,,2025-01-01,2027-01-01
16,CORE,has_role,doc_15,doctor,,2025-01-01,2027-01-01
17,CORE,has_role,doc_16,doctor,,2025-01-01,2027-01-01
18,CORE,has_role,doc_17,doctor,,2025-01-01,2027-01-01
19,CORE,has_role,doc_18,doctor,,2025-01-01,2027-01-01
20,CORE,has_role,doc_19,doctor,,2025-01-01,2027-01-01
21,CORE,has_role,doc_20,doctor,,2025-01-01,2027-01-01
22,CORE,has_role,doc_21,doctor,,2025-01-01,2027-01-01
23,CORE,has_role,doc_22,doctor,,2025-01-01,2027-01-01
24,CORE,has_role,doc_23,doctor,,2025-01-01,2027-01-01
25,CORE,has_role,doc_24,doctor,,2025-01-01,2027-01-01
26,CORE,has_role,doc_25,doctor,,2025-01-01,2027-01-01
27,CORE,has_role,doc_26,doctor,,2025-01-01,2027-01-01
28,CORE,has_role,doc_27,doctor,,2025-01-01,2027-01-01
29,CORE,has_role,doc_28,doctor,,2025-01-01,2027-01-01
30,CORE,has_role,doc_29,doctor,,2025-01-01,2027-01-01
31,CORE,has_role,doc_30,doctor,,2025-01-01,2027-01-01
32,CORE,has_role,doc_31,doctor,,2025-01-01,2027-01-01
33,CORE,has_role,doc_32,doctor,,2025-01-01,2027-01-01
34,CORE,has_role,doc_33,doctor,,2025-01-01,2027-01-01
35,CORE,has_role,doc_34,doctor,,2025-01-01,2027-01-01
36,CORE,has_role,doc_35,doctor,,2025-01-01,2027-01-01
37,CORE,has_role,doc_36,doctor,,2025-01-01,2027-01-01
38,CORE,has_role,doc_37,doctor,,2025-01-01,2027-01-01
39,CORE,has_role,doc_38,doctor,,2025-01-01,2027-01-01
40,CORE,has_role,doc_39,doctor,,2025-01-01,2027-01-01
41,CORE,has_role,doc_40,doctor,,2025-01-01,2027-01-01
42,CORE,has_role,doc_41,doctor,,2025-01-01,2027-01-01
43,CORE,has_role,doc_42,doctor,,2025-01-01,2027-01-01
44,CORE,has_role,doc_43,doctor,,2025-01-01,2027-01-01
45,CORE,has_role,doc_44,doctor,,2025-01-01,2027-01-01
46,CORE,has_role,doc_45,doctor,,2025-01-01,2027-01-01
47,CORE,has_role,doc_46,doctor,,2025-01-01,2027-01-01
48,CORE,has_role,doc_47,doctor,,2025-01-01,2027-01-01
