log_id,principal,action,resource,lab_result,clinical_note,billing_info,purpose,timestamp,label
log_0,doc_0,read_phi,phi_rec_2,0,1,0,diagnosis,2025-02-19T15:57:54,benign
log_1,doc_2,read_phi,phi_rec_3,1,1,0,diagnosis,2025-07-05T01:54:26,benign
log_2,doc_4,read_phi,phi_rec_10,1,1,0,research,2025-04-16T22:37:51,benign
log_3,doc_4,read_phi,phi_rec_10,0,0,0,billing,2025-08-15T08:29:55,benign
log_4,doc_3,read_phi,phi_rec_1,0,0,0,billing,2025-07-06T02:31:03,benign
log_5,doc_3,read_phi,phi_rec_5,1,0,0,diagnosis,2025-03-09T10:52:36,benign
log_6,doc_3,read_phi,phi_rec_6,0,0,0,billing,2025-03-10T06:41:01,benign
log_7,doc_4,read_phi,phi_rec_4,0,1,0,diagnosis,2025-02-15T14:52:53,benign
log_8,doc_3,read_phi,phi_rec_1,0,0,0,marketing,2025-08-29T16:09:27,benign
log_9,doc_2,read_phi,phi_rec_3,0,0,0,billing,2025-04-07T23:24:57,benign
log_10,doc_4,read_phi,phi_rec_19,0,0,0,marketing,2025-03-08T23:48:32,benign
log_11,doc_0,read_phi,phi_rec_16,0,0,0,billing,2025-07-21T11:44:31,benign
log_12,bclerk_0,read_phi,phi_rec_7,0,0,1,billing,2025-06-02T20:54:27,benign
log_13,bclerk_1,read_phi,phi_rec_1,0,0,1,billing,2025-07-10T16:21:45,benign
log_14,doc_4,read_phi,phi_rec_17,0,0,0,billing,2025-02-02T01:41:46,benign
log_15,doc_3,read_phi,phi_rec_17,0,1,0,marketing,2025-04-27T21:16:44,violation_hipaa_auth
log_16,doc_3,read_phi,phi_rec_6,0,0,0,marketing,2025-04-21T12:22:22,benign
log_17,doc_2,read_phi,phi_rec_3,1,1,0,diagnosis,2025-01-06T19:39:19,benign
log_18,doc_2,read_phi,phi_rec_7,1,1,0,diagnosis,2025-08-20T20:56:09,benign
log_19,doc_2,read_phi,phi_rec_9,0,0,0,billing,2025-04-14T07:38:18,benign
log_20,doc_0,read_phi,phi_rec_16,0,0,0,billing,2025-01-30T07:41:10,benign
log_21,bclerk_0,read_phi,phi_rec_4,0,0,1,billing,2025-05-03T13:16:02,benign
log_22,doc_3,read_phi,phi_rec_1,1,1,0,diagnosis,2025-01-20T05:41:45,benign
log_23,doc_3,read_phi,phi_rec_1,1,1,0,diagnosis,2025-02-28T10:53:43,benign
log_24,doc_3,read_phi,phi_rec_0,0,0,0,billing,2025-07-10T07:45:29,benign
