log_id,principal,action,resource,lab_result,clinical_note,billing_info,purpose,timestamp,label
log_0,doc_16,read_phi,phi_rec_1762,0,0,0,marketing,2025-06-24T08:36:35,benign
log_1,doc_48,read_phi,phi_rec_313,1,1,0,diagnosis,2025-01-10T12:21:14,benign
log_2,doc_11,read_phi,phi_rec_394,0,0,0,billing,2025-04-27T08:07:38,benign
log_3,doc_30,read_phi,phi_rec_442,1,0,0,research,2025-01-02T08:39:53,benign
log_4,doc_24,read_phi,phi_rec_1519,0,0,0,billing,2025-02-08T04:49:35,benign
log_5,doc_25,read_phi,phi_rec_913,0,0,0,marketing,2025-01-02T16:43:37,benign
log_6,doc_46,read_phi,phi_rec_425,0,0,0,marketing,2025-07-26T02:46:42,benign
log_7,doc_15,read_phi,phi_rec_1640,1,1,0,research,2025-07-06T20:11:53,benign
log_8,doc_45,read_phi,phi_rec_300,0,0,0,marketing,2025-01-21T00:38:53,benign
log_9,doc_39,read_phi,phi_rec_1450,1,1,0,research,2025-04-08T13:47:50,benign
log_10,doc_49,read_phi,phi_rec_714,1,1,0,diagnosis,2025-06-26T23:39:10,benign
log_11,bclerk_8,read_phi,phi_rec_1417,0,0,1,billing,2025-05-18T07:04:08,benign
log_12,doc_25,read_phi,phi_rec_419,1,1,0,diagnosis,2025-04-13T21:43:09,benign
log_13,doc_6,read_phi,phi_rec_1988,1,1,0,research,2025-08-14T12:42:37,benign
log_14,bclerk_6,read_phi,phi_rec_1957,0,0,1,billing,2025-08-03T20:08:43,benign
log_15,doc_43,read_phi,phi_rec_738,0,0,0,billing,2025-06-25T07:05:58,benign
log_16,bclerk_0,read_phi,phi_rec_662,0,0,1,marketing,2025-02-06T03:21:10,violation_gdpr_art18
log_17,bclerk_3,read_phi,phi_rec_1029,0,0,1,billing,2025-04-21T16:24:16,benign
log_18,bclerk_1,read_phi,phi_rec_1953,0,0,1,billing,2025-06-18T16:16:22,benign
log_19,doc_40,read_phi,phi_rec_1029,1,1,0,diagnosis,2025-01-02T05:13:14,benign
log_20,doc_19,read_phi,phi_rec_1173,1,1,0,diagnosis,2025-06-27T22:41:27,benign
log_21,bclerk_4,read_phi,phi_rec_712,0,1,0,billing,2025-01-28T18:02:03,violation_hipaa_min_necessary
log_22,doc_29,read_phi,phi_rec_1224,0,0,0,billing,2025-03-15T09:21:38,benign
log_23,doc_0,read_phi,phi_rec_769,0,0,0,billing,2025-01-06T06:05:18,benign
log_24,bclerk_4,read_phi,phi_rec_283,0,0,1,billing,2025-08-19T16:54:29,benign
log_25,doc_36,read_phi,phi_rec_1639,0,0,0,billing,2025-03-20T17:51:43,benign
log_26,doc_24,read_phi,phi_rec_288,1,1,0,research,2025-06-11T07:19:54,benign
log_27,doc_20,read_phi,phi_rec_1210,1,1,0,diagnosis,2025-03-19T12:07:28,benign
log_28,doc_38,read_phi,phi_rec_862,1,1,0,diagnosis,2025-05-31T17:29:51,benign
log_29,doc_43,read_phi,phi_rec_339,1,0,0,diagnosis,2025-05-03T01:53:31,benign
log_30,doc_1,read_phi,phi_rec_1501,0,0,0,billing,2025-04-07T00:48:36,benign
log_31,doc_25,read_phi,phi_rec_504,1,1,0,diagnosis,2025-02-19T17:54:16,benign
log_32,bclerk_6,read_phi,phi_rec_1524,0,0,1,billing,2025-01-17T13:55:12,benign
log_33,doc_13,read_phi,phi_rec_334,0,0,0,billing,2025-06-05T10:47:45,benign
log_34,doc_39,read_phi,phi_rec_642,1,0,0,research,2025-01-07T16:11:52,benign
log_35,doc_14,read_phi,phi_rec_1933,0,0,0,marketing,2025-03-31T11:33:18,benign
log_36,bclerk_0,read_phi,phi_rec_41,0,0,1,marketing,2025-06-01T05:53:01,violation_gdpr_art18
log_37,bclerk_2,read_phi,phi_rec_523,0,0,1,billing,2025-03-16T01:56:31,benign
log_38,bclerk_12,read_phi,phi_rec_772,0,0,1,billing,2025-01-14T05:10:07,benign
log_39,doc_37,read_phi,phi_rec_87,1,1,0,research,2025-07-09T18:09:38,benign
log_40,bclerk_1,read_phi,phi_rec_1254,0,0,1,billing,2025-02-16T14:12:48,benign
log_41,doc_31,read_phi,phi_rec_1634,1,1,0,diagnosis,2025-08-04T01:00:49,benign
log_42,doc_39,read_phi,phi_rec_1621,0,0,0,marketing,2025-08-29T18:07:01,benign
log_43,bclerk_14,read_phi,phi_rec_686,0,0,1,billing,2025-01-27T17:06:39,benign
log_44,doc_17,read_phi,phi_rec_1476,0,0,0,marketing,2025-08-06T15:42:15,benign
