RuleID,Principal,resource,timestamp,details
rule_1,doc_1,phi_rec_1,2025-07-30 09:12:00,access
rule_1,doc_1,phi_rec_2,2025-08-02 14:05:00,access
rule_1,doc_2,phi_rec_3,2025-08-04 11:22:00,access
rule_2,doc_1,phi_rec_1,2025-08-08 10:00:00,modify
rule_1,doc_3,phi_rec_4,2025-08-09 16:30:00,access
rule_2,doc_2,phi_rec_2,2025-08-12 08:45:00,modify
rule_1,doc_1,phi_rec_5,2025-08-15 09:00:00,access
rule_1,doc_2,phi_rec_1,2025-08-18 13:10:00,access
rule_2,doc_3,phi_rec_2,2025-08-21 10:05:00,modify
rule_1,doc_3,phi_rec_3,2025-08-24 09:30:00,access
rule_1,doc_1,phi_rec_4,2025-08-26 12:20:00,access
rule_2,doc_2,phi_rec_5,2025-08-28 15:45:00,modify
