log_id,principal,action,resource,lab_result,clinical_note,billing_info,request_timestamp,process_timestamp,label
req_ben_19142,pat_417,request_access,phi_rec_417,1,1,1,2025-08-09T00:00:00,2025-08-11T00:00:00,benign
req_ben_9945,pat_923,request_access,phi_rec_923,1,0,1,2025-08-06T00:00:00,2025-08-25T00:00:00,benign
req_ben_34665,pat_1192,request_access,phi_rec_1192,1,0,0,2025-08-02T00:00:00,2025-08-27T00:00:00,benign
req_ben_25431,pat_964,request_access,phi_rec_964,1,1,1,2025-08-08T00:00:00,2025-08-29T00:00:00,benign
req_ben_29359,pat_1461,request_access,phi_rec_1461,1,0,0,2025-08-17T00:00:00,2025-09-11T00:00:00,benign
req_ben_24759,pat_341,request_deactivation,phi_rec_341,0,0,0,2025-08-26T00:00:00,2025-09-18T00:00:00,benign
req_ben_4113,pat_1599,request_access,phi_rec_1599,1,0,1,2025-08-27T00:00:00,2025-09-13T00:00:00,benign
req_vio_453,pat_550,request_deactivation,phi_rec_550,0,0,0,2025-07-06T00:00:00,,violation_gdpr_art17
req_ben_31768,pat_1273,request_deactivation,phi_rec_1273,0,0,0,2025-08-24T00:00:00,2025-09-16T00:00:00,benign
req_ben_15421,pat_520,request_access,phi_rec_520,1,0,0,2025-08-19T00:00:00,2025-09-05T00:00:00,benign
req_ben_10741,pat_572,request_deactivation,phi_rec_572,0,0,0,2025-08-20T00:00:00,2025-09-01T00:00:00,benign
req_ben_40933,pat_1803,request_access,phi_rec_1803,1,1,0,2025-08-14T00:00:00,2025-08-27T00:00:00,benign
req_ben_28219,pat_562,request_access,phi_rec_562,1,1,1,2025-08-20T00:00:00,2025-09-01T00:00:00,benign
req_ben_16893,pat_339,request_access,phi_rec_339,0,1,0,2025-08-08T00:00:00,2025-08-28T00:00:00,benign
req_ben_34625,pat_1365,request_deactivation,phi_rec_1365,0,0,0,2025-08-23T00:00:00,2025-08-24T00:00:00,benign
req_ben_2642,pat_1682,request_access,phi_rec_1682,0,1,1,2025-08-25T00:00:00,2025-09-12T00:00:00,benign
req_ben_33052,pat_1961,request_deactivation,phi_rec_1961,0,0,0,2025-08-12T00:00:00,2025-08-19T00:00:00,benign
req_ben_33603,pat_197,request_access,phi_rec_197,1,0,0,2025-08-19T00:00:00,2025-09-07T00:00:00,benign
req_ben_14691,pat_96,request_deactivation,phi_rec_96,0,0,0,2025-08-10T00:00:00,2025-08-25T00:00:00,benign
req_ben_24021,pat_1845,request_access,phi_rec_1845,1,1,1,2025-08-18T00:00:00,2025-08-24T00:00:00,benign
req_ben_17874,pat_1279,request_deactivation,phi_rec_1279,0,0,0,2025-08-10T00:00:00,2025-08-17T00:00:00,benign
req_ben_34952,pat_701,request_deactivation,phi_rec_701,0,0,0,2025-08-07T00:00:00,2025-08-20T00:00:00,benign
req_ben_18868,pat_827,request_deactivation,phi_rec_827,0,0,0,2025-08-03T00:00:00,2025-08-28T00:00:00,benign
req_ben_2123,pat_746,request_access,phi_rec_746,1,0,0,2025-08-18T00:00:00,2025-09-03T00:00:00,benign
req_ben_45382,pat_207,request_access,phi_rec_207,1,1,1,2025-08-21T00:00:00,2025-09-11T00:00:00,benign
req_ben_28883,pat_198,request_access,phi_rec_198,1,0,0,2025-08-07T00:00:00,2025-08-12T00:00:00,benign
req_ben_6882,pat_1219,request_access,phi_rec_1219,1,1,1,2025-08-07T00:00:00,2025-08-22T00:00:00,benign
req_ben_37492,pat_1597,request_deactivation,phi_rec_1597,0,0,0,2025-08-04T00:00:00,2025-08-17T00:00:00,benign
req_ben_13639,pat_775,request_access,phi_rec_775,1,1,1,2025-08-26T00:00:00,2025-09-18T00:00:00,benign
req_ben_37086,pat_1508,request_access,phi_rec_1508,1,1,1,2025-08-22T00:00:00,2025-08-31T00:00:00,benign
req_ben_20877,pat_1225,request_deactivation,phi_rec_1225,0,0,0,2025-08-26T00:00:00,2025-08-31T00:00:00,benign
req_ben_10270,pat_349,request_access,phi_rec_349,0,0,1,2025-08-09T00:00:00,2025-08-21T00:00:00,benign
req_ben_12830,pat_623,request_access,phi_rec_623,1,1,0,2025-08-24T00:00:00,2025-09-07T00:00:00,benign
req_ben_16605,pat_1988,request_access,phi_rec_1988,0,1,0,2025-08-05T00:00:00,2025-08-30T00:00:00,benign
req_ben_46103,pat_1332,request_access,phi_rec_1332,1,1,0,2025-08-20T00:00:00,2025-09-09T00:00:00,benign
req_ben_24010,pat_1904,request_access,phi_rec_1904,1,1,1,2025-08-05T00:00:00,2025-08-15T00:00:00,benign
req_ben_14401,pat_1505,request_access,phi_rec_1505,0,1,0,2025-08-04T00:00:00,2025-08-29T00:00:00,benign
req_ben_20027,pat_1385,request_access,phi_rec_1385,0,1,0,2025-08-13T00:00:00,2025-08-20T00:00:00,benign
req_ben_32490,pat_994,request_deactivation,phi_rec_994,0,0,0,2025-08-29T00:00:00,2025-09-05T00:00:00,benign
req_ben_8362,pat_1532,request_deactivation,phi_rec_1532,0,0,0,2025-08-10T00:00:00,2025-08-16T00:00:00,benign
req_ben_14530,pat_621,request_access,phi_rec_621,0,1,0,2025-08-11T00:00:00,2025-08-31T00:00:00,benign
req_vio_399,pat_1454,request_deactivation,phi_rec_1454,0,0,0,2025-04-25T00:00:00,,violation_gdpr_art17
req_ben_44441,pat_1104,request_access,phi_rec_1104,1,0,1,2025-08-08T00:00:00,2025-08-28T00:00:00,benign
req_ben_46274,pat_918,request_deactivation,phi_rec_918,0,0,0,2025-08-30T00:00:00,2025-09-06T00:00:00,benign
req_ben_34477,pat_493,request_access,phi_rec_493,1,1,1,2025-08-25T00:00:00,2025-08-29T00:00:00,benign
req_ben_13435,pat_1614,request_deactivation,phi_rec_1614,0,0,0,2025-08-22T00:00:00,2025-09-15T00:00:00,benign
req_ben_11771,pat_1199,request_access,phi_rec_1199,1,1,1,2025-08-15T00:00:00,2025-09-08T00:00:00,benign
req_ben_10800,pat_93,request_access,phi_rec_93,0,1,1,2025-08-11T00:00:00,2025-08-31T00:00:00,benign
req_ben_9813,pat_428,request_access,phi_rec_428,1,0,0,2025-08-24T00:00:00,2025-09-14T00:00:00,benign
req_ben_27044,pat_721,request_access,phi_rec_721,1,1,0,2025-08-09T00:00:00,2025-08-11T00:00:00,benign
req_ben_34450,pat_551,request_access,phi_rec_551,1,0,1,2025-08-29T00:00:00,2025-09-10T00:00:00,benign
req_ben_4953,pat_57,request_access,phi_rec_57,0,1,1,2025-08-24T00:00:00,2025-08-31T00:00:00,benign
req_ben_31274,pat_531,request_access,phi_rec_531,1,1,1,2025-08-08T00:00:00,2025-08-20T00:00:00,benign
req_ben_9611,pat_1875,request_deactivation,phi_rec_1875,0,0,0,2025-08-22T00:00:00,2025-09-13T00:00:00,benign
req_ben_32660,pat_88,request_access,phi_rec_88,0,0,1,2025-08-09T00:00:00,2025-08-24T00:00:00,benign
req_ben_20813,pat_1967,request_deactivation,phi_rec_1967,0,0,0,2025-08-14T00:00:00,2025-08-26T00:00:00,benign
req_ben_6198,pat_1584,request_access,phi_rec_1584,0,1,1,2025-08-07T00:00:00,2025-08-28T00:00:00,benign
req_ben_26260,pat_1630,request_deactivation,phi_rec_1630,0,0,0,2025-08-09T00:00:00,2025-08-15T00:00:00,benign
req_ben_30103,pat_1832,request_deactivation,phi_rec_1832,0,0,0,2025-08-10T00:00:00,2025-09-02T00:00:00,benign
req_ben_41762,pat_1168,request_access,phi_rec_1168,1,0,0,2025-08-18T00:00:00,2025-09-12T00:00:00,benign
