log_id,principal,action,resource,lab_result,clinical_note,billing_info,purpose,timestamp,label
log_0,doc_36,read_phi,phi_rec_724,0,0,0,billing,2025-07-14T21:27:36,benign
log_1,doc_9,read_phi,phi_rec_1540,0,0,0,research,2025-01-08T06:53:31,benign
log_2,doc_41,read_phi,phi_rec_131,0,0,0,billing,2025-04-13T19:41:44,benign
log_3,doc_40,read_phi,phi_rec_1544,0,0,0,marketing,2025-06-24T16:17:50,benign
log_4,bclerk_7,read_phi,phi_rec_1088,0,0,1,billing,2025-05-18T07:03:06,benign
log_5,doc_30,read_phi,phi_rec_261,0,0,0,billing,2025-02-27T00:51:21,benign
log_6,doc_3,read_phi,phi_rec_427,0,0,0,marketing,2025-07-11T07:57:30,benign
log_7,bclerk_3,read_phi,phi_rec_1881,0,0,1,billing,2025-06-08T13:08:08,benign
log_8,doc_7,read_phi,phi_rec_687,1,1,0,research,2025-06-10T23:38:59,benign
log_9,doc_16,read_phi,phi_rec_20,1,1,0,diagnosis,2025-08-10T17:57:51,benign
log_10,bclerk_1,read_phi,phi_rec_1305,0,0,1,billing,2025-01-30T12:45:09,benign
log_11,doc_29,read_phi,phi_rec_1936,0,0,0,billing,2025-08-09T15:34:02,benign
log_12,doc_39,read_phi,phi_rec_1316,0,1,0,research,2025-02-03T02:50:13,benign
log_13,doc_16,read_phi,phi_rec_1490,0,1,0,diagnosis,2025-03-15T00:48:05,benign
log_14,doc_11,read_phi,phi_rec_202,1,1,0,research,2025-08-06T07:17:04,benign
log_15,doc_16,read_phi,phi_rec_1167,0,0,0,marketing,2025-05-20T00:39:42,benign
log_16,doc_2,read_phi,phi_rec_565,0,0,0,billing,2025-08-21T01:30:43,benign
log_17,doc_1,read_phi,phi_rec_1365,1,0,0,diagnosis,2025-06-28T17:01:04,benign
log_18,doc_43,read_phi,phi_rec_223,1,1,0,diagnosis,2025-04-03T19:48:47,benign
log_19,doc_22,read_phi,phi_rec_1395,1,1,0,diagnosis,2025-02-16T11:47:45,benign
log_20,bclerk_5,read_phi,phi_rec_246,0,0,1,billing,2025-07-14T07:52:22,benign
log_21,doc_47,read_phi,phi_rec_382,0,0,0,billing,2025-08-18T21:51:04,benign
log_22,doc_37,read_phi,phi_rec_139,0,0,0,billing,2025-08-26T09:33:51,benign
log_23,bclerk_4,read_phi,phi_rec_697,0,0,1,billing,2025-08-22T03:20:39,benign
log_24,doc_9,read_phi,phi_rec_67,0,0,0,marketing,2025-08-27T15:25:07,benign
log_25,doc_28,read_phi,phi_rec_692,0,0,0,marketing,2025-04-07T20:01:22,benign
log_26,doc_44,read_phi,phi_rec_772,1,1,0,diagnosis,2025-05-03T07:35:45,benign
log_27,doc_20,read_phi,phi_rec_1056,1,0,0,diagnosis,2025-04-11T09:43:21,benign
log_28,doc_3,read_phi,phi_rec_1733,1,0,0,diagnosis,2025-05-04T08:33:37,benign
log_29,bclerk_5,read_phi,phi_rec_880,0,0,1,billing,2025-01-04T23:01:30,benign
log_30,doc_45,read_phi,phi_rec_1233,1,1,0,diagnosis,2025-07-18T08:06:32,benign
log_31,doc_1,read_phi,phi_rec_1698,0,0,0,billing,2025-06-20T05:04:03,benign
log_32,doc_31,read_phi,phi_rec_74,0,0,0,marketing,2025-04-09T22:17:41,benign
log_33,bclerk_7,read_phi,phi_rec_1491,0,0,1,billing,2025-06-16T01:31:43,benign
log_34,doc_8,read_phi,phi_rec_400,0,0,0,billing,2025-04-25T04:42:05,benign
log_35,doc_46,read_phi,phi_rec_734,0,0,0,billing,2025-01-23T12:24:46,benign
log_36,bclerk_0,read_phi,phi_rec_1701,0,0,1,billing,2025-03-03T07:42:23,benign
log_37,doc_20,read_phi,phi_rec_1283,0,0,0,marketing,2025-06-30T02:10:31,benign
log_38,doc_12,read_phi,phi_rec_280,0,0,0,marketing,2025-02-04T19:48:49,benign
log_39,bclerk_14,read_phi,phi_rec_1074,0,0,1,billing,2025-03-11T07:18:30,benign
log_40,bclerk_5,read_phi,phi_rec_1598,0,0,1,billing,2025-08-17T11:14:12,benign
log_41,doc_2,read_phi,phi_rec_1897,1,1,0,diagnosis,2025-02-11T00:54:12,benign
log_42,doc_43,read_phi,phi_rec_188,0,0,0,billing,2025-03-22T06:05:12,benign
log_43,doc_0,read_phi,phi_rec_1946,0,0,0,billing,2025-02-01T05:22:56,benign
log_44,doc_15,read_phi,phi_rec_284,1,1,0,diagnosis,2025-01-30T03:53:35,benign
log_45,doc_7,read_phi,phi_rec_978,0,1,0,diagnosis,2025-05-29T18:43:50,benign
log_46,doc_1,read_phi,phi_rec_1952,0,0,0,billing,2025-06-21T06:40:57,benign
log_47,doc_47,read_phi,phi_rec_930,1,0,0,research,2025-08-23T20:21:29,benign
log_48,doc_14,read_phi,phi_rec_756,0,0,0,billing,2025-07-25T14:05:56,benign
log_49,doc_8,read_phi,phi_rec_327,0,0,0,billing,2025-05-03T21:54:37,benign
log_50,bclerk_8,read_phi,phi_rec_942,0,0,1,billing,2025-07-07T20:13:13,benign
log_51,doc_34,read_phi,phi_rec_960,1,1,0,diagnosis,2025-08-05T09:18:00,benign
log_52,bclerk_2,read_phi,phi_rec_375,1,0,0,billing,2025-03-19T10:39:07,violation_hipaa_min_necessary
log_53,doc_13,read_phi,phi_rec_395,0,0,0,billing,2025-05-14T10:42:00,benign
log_54,doc_21,read_phi,phi_rec_626,0,0,0,billing,2025-06-17T13:25:44,benign
log_55,doc_44,read_phi,phi_rec_692,0,1,0,research,2025-06-01T16:00:01,violation_hipaa_auth
log_56,doc_15,read_phi,phi_rec_1468,1,1,0,diagnosis,2025-08-02T07:53:22,benign
log_57,bclerk_13,read_phi,phi_rec_780,0,0,1,billing,2025-04-24T03:10:57,benign
log_58,doc_20,read_phi,phi_rec_1763,0,0,0,billing,2025-07-27T17:19:38,benign
log_59,doc_2,read_phi,phi_rec_580,0,0,0,billing,2025-02-09T21:08:25,benign
log_60,doc_32,read_phi,phi_rec_1469,1,1,0,research,2025-07-10T14:32:04,benign
log_61,doc_49,read_phi,phi_rec_1806,0,0,0,marketing,2025-05-20T12:12:23,benign
log_62,doc_8,read_phi,phi_rec_1693,0,0,0,billing,2025-08-10T13:58:10,benign
log_63,doc_4,read_phi,phi_rec_1385,1,0,0,research,2025-04-26T19:52:03,benign
log_64,doc_37,read_phi,phi_rec_846,0,1,0,diagnosis,2025-05-08T00:53:03,violation_hipaa_auth
log_65,doc_2,read_phi,phi_rec_1809,0,1,0,marketing,2025-07-10T02:47:48,violation_hipaa_auth
log_66,doc_40,read_phi,phi_rec_1900,0,0,0,billing,2025-03-08T17:12:38,benign
log_67,doc_29,read_phi,phi_rec_1769,0,0,0,billing,2025-01-17T07:52:42,benign
log_68,doc_5,read_phi,phi_rec_635,1,0,0,diagnosis,2025-02-05T03:09:40,benign
log_69,bclerk_6,read_phi,phi_rec_1341,0,0,1,billing,2025-04-26T18:04:48,benign
log_70,bclerk_3,read_phi,phi_rec_1418,1,0,0,billing,2025-07-24T16:55:46,violation_hipaa_min_necessary
log_71,doc_9,read_phi,phi_rec_456,0,0,0,billing,2025-04-30T20:28:52,benign
log_72,doc_41,read_phi,phi_rec_1251,1,1,0,research,2025-03-22T05:01:52,benign
log_73,bclerk_3,read_phi,phi_rec_1731,0,0,1,billing,2025-08-29T08:37:23,benign
log_74,bclerk_6,read_phi,phi_rec_405,0,0,1,billing,2025-07-03T11:11:20,benign
log_75,bclerk_12,read_phi,phi_rec_1024,0,0,1,billing,2025-08-27T16:53:33,benign
log_76,bclerk_12,read_phi,phi_rec_156,0,0,1,billing,2025-02-23T02:07:09,benign
