year,month,principal,score,violations,month_total_violations
2025,1,bclerk_0,0.48831308487085845,14,31
2025,1,doc_0,0.569902512267586,4,31
2025,1,doc_1,0.5954266815202391,5,31
2025,1,doc_2,0.6013428513866684,5,31
2025,1,doc_3,0.5949362866816764,2,31
2025,1,doc_4,0.7030864438151329,1,31
2025,2,bclerk_0,0.4850662220070532,8,24
2025,2,doc_0,0.570141518287028,3,24
2025,2,doc_1,0.5900925364715974,5,24
2025,2,doc_2,0.569902512267586,4,24
2025,2,doc_3,0.7030864438151329,2,24
2025,2,doc_4,0.7030864438151329,2,24
2025,3,bclerk_0,0.470487966627956,16,36
2025,3,doc_0,0.5433640733199523,4,36
2025,3,doc_1,0.5134180496327652,7,36
2025,3,doc_2,0.6013428513866684,4,36
2025,3,doc_4,0.569902512267586,5,36
2025,4,bclerk_0,0.5050272593795031,11,27
2025,4,doc_0,0.569195114157683,3,27
2025,4,doc_1,0.5656067757456256,5,27
2025,4,doc_2,0.584445874796345,4,27
2025,4,doc_3,0.5529201852954326,3,27
2025,4,doc_4,0.7030864438151329,1,27
2025,5,bclerk_0,0.46636490016092846,15,28
2025,5,doc_0,0.5769331578715143,2,28
2025,5,doc_1,0.7030864438151329,1,28
2025,5,doc_2,0.5345430780509441,4,28
2025,5,doc_3,0.6141007286512696,4,28
2025,5,doc_4,0.6296832351305224,2,28
2025,6,bclerk_0,0.5134180496327652,10,30
2025,6,doc_0,0.569195114157683,2,30
2025,6,doc_1,0.5613506513922615,4,30
2025,6,doc_2,0.5729674306142948,3,30
2025,6,doc_3,0.5433640733199523,7,30
2025,6,doc_4,0.6610042030513337,4,30
2025,7,bclerk_0,0.4414313104785599,18,34
2025,7,doc_0,0.584445874796345,4,34
2025,7,doc_1,0.7030864438151329,2,34
2025,7,doc_2,0.529356112232463,3,34
2025,7,doc_3,0.565519705833887,3,34
2025,7,doc_4,0.584445874796345,4,34
2025,8,bclerk_0,0.42675873751353177,24,40
2025,8,doc_0,0.5949362866816764,4,40
2025,8,doc_1,0.5854850187468388,2,40
2025,8,doc_2,0.6000010937220539,6,40
2025,8,doc_3,0.7030864438151329,1,40
2025,8,doc_4,0.6437828700597381,3,40
